siteID,siteID,distance
ACA,SBR,69.3493
ACA,SCN,595.198
ACA,SCU,487.213
ACA,SDB,72.0801
ACA,SDC,458.626
ACA,SDM,214.132
ACA,SEP,544.067
ACA,SIS,89.4869
ACA,SLM,284.164
ACA,SNT,76.7152
ACA,SPD,92.406
ACA,SRB,71.1525
ACA,SRC,304.538
ACA,SRX,129.986
ACA,SUF,400.432
ACA,TAM,505.269
ACA,TBI,71.7665
ACA,TCH,60.1437
ACA,TCK,135.091
ACA,TIK,413.917
ACA,TLA,506.956
ACA,TNA,523.842
ACA,TNH,194.48
ACA,TPN,428.547
ACA,TPX,431.297
ACA,TRC,404.473
ACA,TRS,530.456
ACA,TRT,481.355
ACA,TUN,79.7031
ACA,TZC,95.3555
ACA,TZM,112.849
ACA,TZN,507.825
ACA,UAX,393.868
ACA,UAY,124.717
ACA,UCN,458.018
ACA,UKM,52.0112
ACA,UOL,417.846
ACA,UXB,524.252
ACA,UXL,344.105
ACA,UXM,70.1641
ACA,UYM,117.993
ACA,XBU,62.7081
ACA,XCA,125.365
ACA,XCK,85.748
ACA,XCL,89.8157
ACA,XCR,100.724
ACA,XCS,60.6041
ACA,XKB,104.463
ACA,XKM,116.684
ACA,XLM,100.673
ACA,XNC,73.782
ACA,XNH,511.369
ACA,XTB,106.433
ACA,XTL,528.847
ACA,XUL,383.412
ACA,XUN,429.701
ACA,XUP,469.938
ACA,YAX,475.292
ACA,YKL,83.7638
ACA,YLT,454.203
ACA,YOK,150.226
ACA,YTM,539.241
ACA,YUL,102.617
ACA,YXH,429.869
ACA,YXL,93.3183
ACA,YXM,77.2251
ACA,YXP,29.4054
ACA,ZAP,435.772
ACA,ZPT,439.538
ACA,ZTZ,411.829
ACN,ACT,86.1243
ACN,AGC,369.322
ACN,AGT,390.79
ACN,ALC,244.701
ACN,ALH,316.167
ACN,ALM,229.425
ACN,ALR,244.194
ACN,ALS,381.821
ACN,ALV,287.574
ACN,AMC,57.2123
ACN,AML,376.086
ACN,ANL,378.36
ACN,ARP,383.633
ACN,ATE,316.288
ACN,BCN,178.431
ACN,BJC,297.04
ACN,BKP,330.716
ACN,BLK,237.601
ACN,BLN,71.769
ACN,BME,333.711
ACN,BNN,331.432
ACN,BPK,363.896
ACN,CAB,364.841
ACN,CAY,328.989
ACN,CCA,322.495
ACN,CCB,14.9892
ACN,CCN,346.936
ACN,CDZ,236.848
ACN,CHC,183.001
ACN,CHI,87.3965
ACN,CHL,370.09
ACN,CHM,237.394
ACN,CHN,202.461
ACN,CHP,333.654
ACN,CHT,152.886
ACN,CHY,230.938
ACN,CKL,450.33
ACN,CKM,106.751
ACN,CLB,10.8705
ACN,CLK,206.963
ACN,CML,351.897
ACN,CMT,449.057
ACN,CNB,117.963
ACN,CNC,433.194
ACN,CNJ,427.029
ACN,CNK,306.925
ACN,CNS,4.96003
ACN,CNZ,324.847
ACN,COB,283.826
ACN,CPH,48.7633
ACN,CPN,577.121
ACN,CRC,374.205
ACN,CRN,265.236
ACN,CRO,362.437
ACN,CRZ,308.895
ACN,CTN,52.837
ACN,CZP,338.055
ACN,DBC,152.97
ACN,DBN,99.9625
ACN,DCB,343.336
ACN,DPL,385.165
ACN,DZB,220.58
ACN,DZC,67.9754
ACN,DZK,45.9607
ACN,DZL,211.332
ACN,EDZ,35.2726
ACN,EKB,274.113
ACN,ENC,302.896
ACN,FLD,303.028
ACN,FLS,332.294
ACN,HBM,22.021
ACN,HCH,79.8081
ACN,HIG,555.43
ACN,HLK,206.251
ACN,HLL,47.4289
ACN,HLM,309.184
ACN,HLT,49.1231
ACN,HNT,80.6018
ACN,HNY,491.42
ACN,HRZ,278.221
ACN,HTZ,120.282
ACN,HUA,313.504
ACN,ICC,52.8876
ACN,ICP,262.508
ACN,IKL,176.46
ACN,ITB,63.4289
ACN,ITN,369.404
ACN,ITS,332.379
ACN,IXK,386.075
ACN,IXL,331.903
ACN,IXT,389.808
ACN,IXZ,394.462
ACN,JAI,38.5125
ACN,JLN,352.008
ACN,JMB,298.51
ACN,JNT,277.424
ACN,JOY,300.63
ACN,JUL,291.392
ACN,KAB,80.5772
ACN,KCB,175.872
ACN,KIN,347.294
ACN,KND,398.577
ACN,KPH,290.247
ACN,KUC,83.6341
ACN,KYL,32.2834
ACN,LAB,83.5904
ACN,LAC,367.041
ACN,LAG,170.416
ACN,LAM,297.62
ACN,LBT,436.208
ACN,LGP,314.29
ACN,LOL,98.6392
ACN,LPM,452.962
ACN,MAR,336.341
ACN,MCA,201.428
ACN,MCG,95.1714
ACN,MCW,373.351
ACN,MLC,83.2874
ACN,MLP,263.645
ACN,MLS,88.8317
ACN,MNG,6.11665
ACN,MPL,164.698
ACN,MPN,131.031
ACN,MQL,401.713
ACN,MRF,333.223
ACN,MRL,254.67
ACN,MTL,322.482
ACN,MTR,301.847
ACN,MXC,83.5228
ACN,NAR,327.047
ACN,NAY,333.196
ACN,NCC,103.469
ACN,NCT,243.989
ACN,NKM,317.606
ACN,NMP,428.43
ACN,NPT,141.798
ACN,NTN,419.358
ACN,OAG,245.577
ACN,OXK,84.5813
ACN,OXL,388.252
ACN,OXP,184.217
ACN,PAB,381.655
ACN,PAL,322.978
ACN,PAT,359.875
ACN,PBT,341.398
ACN,PBX,218.311
ACN,PCL,146.974
ACN,PCR,194.108
ACN,PIX,55.6665
ACN,PJR,308.365
ACN,PLC,348.005
ACN,PLM,239.443
ACN,PMA,400.273
ACN,PMC,25.5806
ACN,PMT,298.232
ACN,PNG,322.026
ACN,POL,342.874
ACN,PRU,293.003
ACN,PSD,331.172
ACN,PUS,439.609
ACN,PVR,318.643
ACN,QRG,532.824
ACN,RAM,575.097
ACN,RAZ,259.98
ACN,RBC,200.041
ACN,REJ,366.655
ACN,RFM,96.3944
ACN,RNC,99.0692
ACN,RSB,203.98
ACN,SAY,77.5335
ACN,SBL,375.494
ACN,SBO,279.014
ACN,SBP,77.4058
ACN,SBR,91.7676
ACN,SCN,455.808
ACN,SCU,386.85
ACN,SDB,87.7125
ACN,SDC,332.163
ACN,SDM,286.608
ACN,SEP,403.026
ACN,SIS,57.9075
ACN,SLM,187.578
ACN,SNT,106.454
ACN,SPD,52.3569
ACN,SRB,96.7738
ACN,SRC,262.444
ACN,SRX,77.3322
ACN,SUF,304.28
ACN,TAM,384.163
ACN,TBI,92.5421
ACN,TCH,188.281
ACN,TCK,49.1191
ACN,TIK,307.233
ACN,TLA,362.961
ACN,TNA,380.797
ACN,TNH,125.166
ACN,TPN,345.593
ACN,TPX,330.177
ACN,TRC,301
ACN,TRS,413.019
ACN,TRT,337.686
ACN,TUN,88.7521
ACN,TZC,50.0328
ACN,TZM,53.2999
ACN,TZN,418.921
ACN,UAX,287.592
ACN,UAY,227.916
ACN,UCN,357.162
ACN,UKM,125.258
ACN,UOL,313.391
ACN,UXB,428.174
ACN,UXL,228.415
ACN,UXM,77.3379
ACN,UYM,55.4361
ACN,XBU,82.0812
ACN,XCA,21.0246
ACN,XCK,74.8741
ACN,XCL,61.2651
ACN,XCR,43.3742
ACN,XCS,85.8602
ACN,XKB,39.9315
ACN,XKM,83.684
ACN,XLM,44.5684
ACN,XNC,80.4268
ACN,XNH,420.559
ACN,XTB,83.012
ACN,XTL,421.871
ACN,XUL,286.124
ACN,XUN,336.819
ACN,XUP,326.257
ACN,YAX,340.912
ACN,YKL,92.0545
ACN,YLT,353.25
ACN,YOK,186.91
ACN,YTM,395.626
ACN,YUL,199.669
ACN,YXH,329.327
ACN,YXL,68.6485
ACN,YXM,95.5803
ACN,YXP,115.285
ACN,ZAP,328.204
ACN,ZPT,331.424
ACN,ZTZ,300.582
ACT,AGC,446.852
ACT,AGT,466.492
ACT,ALC,299.08
ACT,ALH,353.754
ACT,ALM,291.575
ACT,ALR,301.235
ACT,ALS,460.667
ACT,ALV,365.333
ACT,AMC,47.7014
ACT,AML,454.048
ACT,ANL,452.896
ACT,ARP,459.942
ACT,ATE,388.522
ACT,BCN,233.708
ACT,BJC,366.45
ACT,BKP,387.045
ACT,BLK,301.426
ACT,BLN,59.0661
ACT,BME,389.106
ACT,BNN,390.127
ACT,BPK,446.972
ACT,CAB,424.807
ACT,CAY,413.407
ACT,CCA,408.573
ACT,CCB,75.4233
ACT,CCN,405.421
ACT,CDZ,303.35
ACT,CHC,239.866
ACT,CHI,1.27338
ACT,CHL,439.007
ACT,CHM,299.081
ACT,CHN,140.584
ACT,CHP,391.573
ACT,CHT,209.471
ACT,CHY,299.737
ACT,CKL,535.489
ACT,CKM,74.6042
ACT,CLB,84.1764
ACT,CLK,274.903
ACT,CML,428.536
ACT,CMT,534.972
ACT,CNB,86.3075
ACT,CNC,507.204
ACT,CNJ,503.245
ACT,CNK,392.873
ACT,CNS,89.8568
ACT,CNZ,385.308
ACT,COB,233.421
ACT,CPH,43.6607
ACT,CPN,643.499
ACT,CRC,434.817
ACT,CRN,345.501
ACT,CRO,441.798
ACT,CRZ,374.996
ACT,CTN,37.1349
ACT,CZP,421.822
ACT,DBC,66.8461
ACT,DBN,128.86
ACT,DCB,425.826
ACT,DPL,461.862
ACT,DZB,242.952
ACT,DZC,48.8269
ACT,DZK,101.994
ACT,DZL,129.27
ACT,EDZ,113.524
ACT,EKB,209.8
ACT,ENC,368.686
ACT,FLD,385.619
ACT,FLS,404.176
ACT,HBM,64.6123
ACT,HCH,130.655
ACT,HIG,616.807
ACT,HLK,144.394
ACT,HLL,55.121
ACT,HLM,369.761
ACT,HLT,42.8947
ACT,HNT,61.3809
ACT,HNY,567.713
ACT,HRZ,337.204
ACT,HTZ,34.7498
ACT,HUA,386.935
ACT,ICC,40.7232
ACT,ICP,281.775
ACT,IKL,114.981
ACT,ITB,65.1456
ACT,ITN,447.912
ACT,ITS,407.711
ACT,IXK,451.967
ACT,IXL,400.651
ACT,IXT,455.483
ACT,IXZ,461.383
ACT,JAI,71.8268
ACT,JLN,437.548
ACT,JMB,365.296
ACT,JNT,361.45
ACT,JOY,380.518
ACT,JUL,365.485
ACT,KAB,45.8464
ACT,KCB,124.667
ACT,KIN,429.585
ACT,KND,446.688
ACT,KPH,327.8
ACT,KUC,65.1082
ACT,KYL,103.448
ACT,LAB,57.141
ACT,LAC,450.286
ACT,LAG,225.249
ACT,LAM,341.432
ACT,LBT,496.52
ACT,LGP,389.979
ACT,LOL,59.8357
ACT,LPM,535.098
ACT,MAR,421.05
ACT,MCA,263.841
ACT,MCG,52.151
ACT,MCW,432.828
ACT,MLC,38.7483
ACT,MLP,315.19
ACT,MLS,54.3604
ACT,MNG,81.3988
ACT,MPL,108.948
ACT,MPN,53.4071
ACT,MQL,473.813
ACT,MRF,418.608
ACT,MRL,340.469
ACT,MTL,394.571
ACT,MTR,374.736
ACT,MXC,9.10151
ACT,NAR,388.309
ACT,NAY,398.481
ACT,NCC,73.287
ACT,NCT,309.186
ACT,NKM,381.194
ACT,NMP,486.773
ACT,NPT,56.3349
ACT,NTN,483.97
ACT,OAG,301.199
ACT,OXK,3.35623
ACT,OXL,471.412
ACT,OXP,248.757
ACT,PAB,460.642
ACT,PAL,408.908
ACT,PAT,439.273
ACT,PBT,399.277
ACT,PBX,249.373
ACT,PCL,197.229
ACT,PCR,245.985
ACT,PIX,85.3464
ACT,PJR,387.054
ACT,PLC,295.651
ACT,PLM,293.856
ACT,PMA,481.075
ACT,PMC,60.7055
ACT,PMT,384.224
ACT,PNG,406.776
ACT,POL,417.748
ACT,PRU,370.769
ACT,PSD,414.691
ACT,PUS,502.657
ACT,PVR,403.609
ACT,QRG,597.287
ACT,RAM,640.093
ACT,RAZ,317.677
ACT,RBC,254.863
ACT,REJ,428.193
ACT,RFM,71.3455
ACT,RNC,81.7528
ACT,RSB,232.562
ACT,SAY,51.3091
ACT,SBL,449.896
ACT,SBO,340.825
ACT,SBP,60.8605
ACT,SBR,24.7489
ACT,SCN,540.921
ACT,SCU,451.106
ACT,SDB,45.4382
ACT,SDC,410.833
ACT,SDM,245.434
ACT,SEP,488.692
ACT,SIS,39.3434
ACT,SLM,246.839
ACT,SNT,66.4172
ACT,SPD,37.8103
ACT,SRB,53.3143
ACT,SRC,289.542
ACT,SRX,95.217
ACT,SUF,365.312
ACT,TAM,460.133
ACT,TBI,49.9519
ACT,TCH,112.642
ACT,TCK,88.9351
ACT,TIK,374.535
ACT,TLA,448.067
ACT,TNA,466.913
ACT,TNH,163.18
ACT,TPN,399.221
ACT,TPX,394.421
ACT,TRC,366.35
